,n_total,n_fd,n_nofd,n_train_full,n_train_quantum,n_test,n_qubits,reps,C,min_magn,auc_rbf_full,acc_rbf_full,auc_rbf_sub,acc_rbf_sub,auc_qsvm,acc_qsvm,delta_auc_fair,delta_auc_full,File
0,214,107,107,160,150,54,4,2,1.0,4.0,0.8010973936899863,0.7777777777777778,0.8010973936899863,0.7407407407407407,0.9122085048010976,0.9074074074074074,0.1111111111111111,0.1111111111111111,Results/exp_4.0_4_2_150.csv
0,214,107,107,160,160,54,4,2,1.0,4.0,0.8010973936899863,0.7777777777777778,0.8010973936899863,0.7777777777777778,0.9122085048010976,0.9074074074074074,0.1111111111111111,0.1111111111111111,Results/exp_4.0_4_2_200.csv
0,214,107,107,160,160,54,4,2,1.0,4.0,0.8010973936899863,0.7777777777777778,0.8010973936899863,0.7777777777777778,0.9122085048010976,0.9074074074074074,0.1111111111111111,0.1111111111111111,Results/exp_4.0_4_2_250.csv
0,214,107,107,160,50,54,4,2,1.0,4.0,0.8010973936899863,0.7777777777777778,0.7997256515775034,0.8703703703703703,0.9314128943758572,0.9074074074074074,0.1316872427983538,0.1303155006858709,Results/exp_4.0_4_2_50.csv
0,214,107,107,160,100,54,4,3,1.0,4.0,0.8010973936899863,0.7777777777777778,0.7997256515775034,0.7592592592592593,0.9396433470507544,0.9074074074074074,0.139917695473251,0.1385459533607681,Results/exp_4.0_4_3_100.csv
0,214,107,107,160,150,54,4,3,1.0,4.0,0.8010973936899863,0.7777777777777778,0.8010973936899863,0.7407407407407407,0.9314128943758572,0.9074074074074074,0.1303155006858709,0.1303155006858709,Results/exp_4.0_4_3_150.csv
0,214,107,107,160,160,54,4,3,1.0,4.0,0.8010973936899863,0.7777777777777778,0.8010973936899863,0.7777777777777778,0.9314128943758572,0.9074074074074074,0.1303155006858709,0.1303155006858709,Results/exp_4.0_4_3_200.csv
0,214,107,107,160,160,54,4,3,1.0,4.0,0.8010973936899863,0.7777777777777778,0.8010973936899863,0.7777777777777778,0.9314128943758572,0.9074074074074074,0.1303155006858709,0.1303155006858709,Results/exp_4.0_4_3_250.csv
0,214,107,107,160,50,54,4,3,1.0,4.0,0.8010973936899863,0.7777777777777778,0.7997256515775034,0.8703703703703703,0.9478737997256516,0.9074074074074074,0.1481481481481481,0.1467764060356652,Results/exp_4.0_4_3_50.csv
0,214,107,107,160,100,54,6,1,1.0,4.0,0.8532235939643347,0.8518518518518519,0.8257887517146776,0.8148148148148148,0.9272976680384089,0.9074074074074074,0.1015089163237311,0.074074074074074,Results/exp_4.0_6_1_100.csv
0,214,107,107,160,150,54,6,1,1.0,4.0,0.8532235939643347,0.8518518518518519,0.8244170096021948,0.8518518518518519,0.9272976680384089,0.9074074074074074,0.1028806584362139,0.074074074074074,Results/exp_4.0_6_1_150.csv
0,214,107,107,160,160,54,6,1,1.0,4.0,0.8532235939643347,0.8518518518518519,0.8532235939643347,0.8518518518518519,0.9272976680384089,0.9074074074074074,0.0740740740740741,0.0740740740740741,Results/exp_4.0_6_1_200.csv
0,214,107,107,160,160,54,6,1,1.0,4.0,0.8532235939643347,0.8518518518518519,0.8532235939643347,0.8518518518518519,0.9272976680384089,0.9074074074074074,0.0740740740740741,0.0740740740740741,Results/exp_4.0_6_1_250.csv
0,214,107,107,160,50,54,6,1,1.0,4.0,0.8532235939643347,0.8518518518518519,0.803840877914952,0.8148148148148148,0.8984910836762687,0.9074074074074074,0.0946502057613167,0.045267489711934,Results/exp_4.0_6_1_50.csv
